Card ID,Instruction 1,Instruction 2,Instruction 3,Instruction 4 (looping)
1A,1,2,17,[Random instruction between 29 and 47]
1B,1,3,17,[Random instruction between 29 and 47]
1C,1,4,3,[Random instruction between 29 and 47]
1D,1,5,3,[Random instruction between 29 and 47]
1E,1,6,3,[Random instruction between 29 and 47]
1F,1,7,3,[Random instruction between 29 and 47]
1G,1,8,3,[Random instruction between 29 and 47]
1H,1,9,17,[Random instruction between 29 and 47]
1I,1,10,17,[Random instruction between 29 and 47]
1J,1,11,17,[Random instruction between 29 and 47]
1K,1,12,2,[Random instruction between 29 and 47]
1L,1,13,2,[Random instruction between 29 and 47]
1M,1,14,2,[Random instruction between 29 and 47]
1N,1,15,2,[Random instruction between 29 and 47]
1O,1,16,2,[Random instruction between 29 and 47]
1P,1,19,17,[Random instruction between 29 and 47]
1Q,1,20,17,[Random instruction between 29 and 47]
1R,1,21,17,[Random instruction between 29 and 47]
1S,1,22,17,[Random instruction between 29 and 47]
1T,1,23,17,[Random instruction between 29 and 47]
1U,1,24,17,[Random instruction between 29 and 47]
1V,1,25,17,[Random instruction between 29 and 47]
1W,1,26,18,[Random instruction between 29 and 47]
1X,1,2,18,[Random instruction between 29 and 47]
1Y,1,2,18,[Random instruction between 29 and 47]
1Z,1,2,18,[Random instruction between 29 and 47]
2A,1,27,18,[Random instruction between 29 and 47]
2B,1,3,18,[Random instruction between 29 and 47]
2C,1,3,18,[Random instruction between 29 and 47]
2D,1,3,18,[Random instruction between 29 and 47]
2E,1,21,18,[Random instruction between 29 and 47]
2F,1,21,28,[Random instruction between 29 and 47]
2G,1,21,28,[Random instruction between 29 and 47]
2H,1,20,28,[Random instruction between 29 and 47]
2I,1,24,28,[Random instruction between 29 and 47]
2J,1,24,28,[Random instruction between 29 and 47]
2K,1,25,28,[Random instruction between 29 and 47]
2L,1,25,28,[Random instruction between 29 and 47]
2M,1,25,28,[Random instruction between 29 and 47]
2N,1,22,28,[Random instruction between 29 and 47]
TEST,1,22,28,[Random instruction between 29 and 47]
