UID,Card ID,Instruction 1,Instruction 2,Instruction 3,Instruction 4 (looping)
2657528197,1A,1,2,17,[Random instruction between 29 and 47]
2357635205,1B,1,3,17,[Random instruction between 29 and 47]
1131986688,1C,1,4,3,[Random instruction between 29 and 47]
903947563,1D,1,5,3,[Random instruction between 29 and 47]
1927876651,1E,1,6,3,[Random instruction between 29 and 47]
2591797861,1F,1,7,3,[Random instruction between 29 and 47]
71753797,1G,1,8,3,[Random instruction between 29 and 47]
4046995925,1H,1,9,17,[Random instruction between 29 and 47]
701082245,1I,1,10,17,[Random instruction between 29 and 47]
2571152261,1J,1,11,17,[Random instruction between 29 and 47]
2084442330,1K,1,12,2,[Random instruction between 29 and 47]
202709466,1L,1,13,2,[Random instruction between 29 and 47]
2633058267,1M,1,14,2,[Random instruction between 29 and 47]
3166582235,1N,1,15,2,[Random instruction between 29 and 47]
213859803,1O,1,16,2,[Random instruction between 29 and 47]
2621849307,1P,1,19,17,[Random instruction between 29 and 47]
2889496027,1Q,1,20,17,[Random instruction between 29 and 47]
1020220379,1R,1,21,17,[Random instruction between 29 and 47]
3155053787,1S,1,22,17,[Random instruction between 29 and 47]
1814252251,1T,1,23,17,[Random instruction between 29 and 47]
3697721562,1U,1,24,17,[Random instruction between 29 and 47]
753827305,1V,1,25,17,[Random instruction between 29 and 47]
3699915446,1W,1,26,18,[Random instruction between 29 and 47]
1557155817,1X,1,2,18,[Random instruction between 29 and 47]
1551967721,1Y,1,2,18,[Random instruction between 29 and 47]
1822177257,1Z,1,2,18,[Random instruction between 29 and 47]
3691610586,2A,1,27,18,[Random instruction between 29 and 47]
482368182,2B,1,3,18,[Random instruction between 29 and 47]
2898941366,2C,1,3,18,[Random instruction between 29 and 47]
740318390,2D,1,3,18,[Random instruction between 29 and 47]
3966648027,2E,1,21,18,[Random instruction between 29 and 47]
3158332123,2F,1,21,28,[Random instruction between 29 and 47]
2086661041,2G,1,21,28,[Random instruction between 29 and 47]
2887210459,2H,1,20,28,[Random instruction between 29 and 47]
1018445531,2I,1,24,28,[Random instruction between 29 and 47]
745753563,2J,1,24,28,[Random instruction between 29 and 47]
3438233307,2K,1,25,28,[Random instruction between 29 and 47]
3433846491,2L,1,25,28,[Random instruction between 29 and 47]
1823037147,2M,1,25,28,[Random instruction between 29 and 47]
3967865265,2N,1,22,28,[Random instruction between 29 and 47]
,TEST,1,22,28,[Random instruction between 29 and 47]
